Tropicana  100% Apple Juice ,,Tropicana,Beverages,100 ml,100,46,,0,11.5,0,,,,,,,
Tropicana  100% Apple Juice ,,Tropicana,Beverages,1 glass= 200 ml,200,92,0,0,23,0,0,0,,,,,
Tropicana  100% Apple Juice ,,Tropicana,Beverages,1 small pack,200,92,0,0,23,0,0,0,,,,,
Minute maid  100% Grape Juice,,Minute maid,Beverages,100 ml,100,64,0,0,16,14.5,,,,,,,
Minute maid  100% Grape Juice,,Minute maid,Beverages,1 small bottle= 400 ml,400,256,0,0,64,58,0,0,,,,,
Tropicana  100% Grape Juice ,,Tropicana,Beverages,100 ml,100,63.6,,0,15.9,0,,,,,,,
Tropicana  100% Grape Juice ,,Tropicana,Beverages,1 glass= 200 ml,200,127.2,0,0,31.8,0,0,0,,,,,
Tropicana  100% Grape Juice ,,Tropicana,Beverages,1 small pack,200,127.2,0,0,31.8,0,0,0,,,,,
Tropicana  100% Mixed Fruit Juice ,,Tropicana,Beverages,1 glass= 200 ml,200,92,0,0,23,0,0,0,,,,,
Tropicana  100% Mixed Fruit Juice ,,Tropicana,Beverages,1 small pack,200,92,0,0,23,0,0,0,,,,,
Tropicana  100% Mixed Fruit Juice ,,Tropicana,Beverages,100 ml,100,46,,0,11.5,0,,,,,,,
Quaker  100% Natural Oats,Oats,Quaker,Branded,100 g ,100,390,15.2,8.6,62.9,0,,,,3.7,,,
Minute maid  100% Orange Juice,,Minute maid,Beverages,100 ml,100,38,0.5,0,9,7,,,,,,,
Minute maid  100% Orange Juice,,Minute maid,Beverages,1 small bottle= 400 ml,400,164.8,0,0,41.2,0,0,0,,,,,
Tropicana  100% Orange Juice ,,Tropicana,Beverages,100 ml,100,41.2,,0,10.3,0,,,,,,,
Costa Multigrain Toast ,,Costa,Branded,2 slices,,249,9.4,3.8,44,0.2,,0.6,,,,,
Costa Toast ,,Costa,Branded,2 slices,,238,9,1.8,46.4,1.2,,0.2,,,,,
McDonalds  4 piece Chicken Nuggets,,McDonalds,Branded,1 serving,64,177,11,10,11,2,1,4,,320,,,
McDonalds  6 piece Chicken Nuggets,,McDonalds,Branded,1 serving,96,266,17,14,17,0,1,6.1,,480,,,
Pizza hut  7-up,,Pizza hut,Branded,1 serving,260,94.73,0,0,24.59,24.47,,0,,0.04,,,
