Tropicana  100% Apple Juice ,100% Apple Juice ,Tropicana,Beverages,100 ml,100.00,46.00,,0.00,11.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropicana  100% Apple Juice , 100% Apple Juice ,Tropicana,Beverages,1 glass= 200 ml,200.00,92.00,0.00,0.00,23.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropicana  100% Apple Juice , 100% Apple Juice ,Tropicana,Beverages,1 small pack,200.00,92.00,0.00,0.00,23.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minute maid  100% Grape Juice, 100% Grape Juice,Minute maid,Beverages,100 ml,100.00,64.00,0.00,0.00,16.00,14.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minute maid  100% Grape Juice, 100% Grape Juice,Minute maid,Beverages,1 small bottle= 400 ml,400.00,256.00,0.00,0.00,64.00,58.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropicana  100% Grape Juice , 100% Grape Juice ,Tropicana,Beverages,100 ml,100.00,63.60,,0.00,15.90,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropicana  100% Grape Juice , 100% Grape Juice ,Tropicana,Beverages,1 glass= 200 ml,200.00,127.20,0.00,0.00,31.80,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropicana  100% Grape Juice , 100% Grape Juice ,Tropicana,Beverages,1 small pack,200.00,127.20,0.00,0.00,31.80,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropicana  100% Mixed Fruit Juice , 100% Mixed Fruit Juice ,Tropicana,Beverages,1 glass= 200 ml,200.00,92.00,0.00,0.00,23.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropicana  100% Mixed Fruit Juice , 100% Mixed Fruit Juice ,Tropicana,Beverages,1 small pack,200.00,92.00,0.00,0.00,23.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropicana  100% Mixed Fruit Juice , 100% Mixed Fruit Juice ,Tropicana,Beverages,100 ml,100.00,46.00,,0.00,11.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quaker  100% Natural Oats, 100% Natural Oats,Quaker,Branded,100 g ,100.00,390.00,15.20,8.60,62.90,0.00,,,,,,,,,,,,,,,,,,3.70,,,,,,,,,,,,,Oats
Minute maid  100% Orange Juice, 100% Orange Juice,Minute maid,Beverages,100 ml,100.00,38.00,0.50,0.00,9.00,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minute maid  100% Orange Juice, 100% Orange Juice,Minute maid,Beverages,1 small bottle= 400 ml,400.00,164.80,0.00,0.00,41.20,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropicana  100% Orange Juice , 100% Orange Juice ,Tropicana,Beverages,100 ml,100.00,41.20,,0.00,10.30,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Multigrain Toast ,Multigrain Toast ,Costa,Branded,2 slices,,249.00,9.40,3.80,44.00,0.20,,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Toast ,Toast ,Costa,Branded,2 slices,,238.00,9.00,1.80,46.40,1.20,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McDonald's  4 piece Chicken Nuggets, 4 piece Chicken Nuggets,McDonald's,Branded,1 serving,64,177,11,10,11.00,2.00,1,4,,,,,,,,,,,,,,,,320,,,,,,,,,,,,,
McDonald's  6 piece Chicken Nuggets, 6 piece Chicken Nuggets,McDonald's,Branded,1 serving,96,266,17,14,17.00,0,1,6.1,,,,,,,,,,,,,,,,480,,,,,,,,,,,,,
Pizza hut  7-up, 7-up,Pizza hut,Branded,1 serving,260.00,94.73,0.00,0.00,24.59,24.47,,0.00,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,
McDonald's  9 piece Chicken Nuggets, 9 piece Chicken Nuggets,McDonald's,Branded,1 serving,144,399,25,22,26.00,0,2,9.1,,,,,,,,,,,,,,,,720,,,,,,,,,,,,,
Kellogg's  All bran wheat flakes, All bran wheat flakes,Kellogg's,Branded,100 gms,100.00,355.00,10.00,1.70,85.00,14.50,1.00,0.40,0.20,1.00,,,0.00,100.00,0.80,0.90,10.00,,1.30,0.20,,25.00,17.50,600.00,#N/A,,,,,,,,,,,,
Costa  All Day Breakfast Roll , All Day Breakfast Roll ,Costa,Branded,1 serving,,553.00,25.10,23.60,56.40,3.20,,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papa John's  All the Meats(TM) Original Pizza, All the Meats(TM) Original Pizza,Papa John's,Branded,1/14 lrg slice,145.71,390.00,19.00,19.00,37.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papa John's  All the Meats(TM) Thin Crust Pizza, All the Meats(TM) Thin Crust Pizza,Papa John's,Branded,"1/14 lrg sl(4.1 oz)",115.00,345.00,16.00,22.00,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa  Almond Croissant , Almond Croissant ,Costa,Branded,1 serving,,326.00,7.40,14.80,39.70,14.10,,7.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lehar  Aloo Bhujia, Aloo Bhujia,Lehar,Branded,100 g ,100.00,610.00,9.00,46.00,40.00,2.10,,,,,,,,,,,,,,,,,,900.00,,,,,,,,,,,,,Indian namkeen
 Aloo Paratha, Aloo Paratha, Breads/roti/south Indian ,Everyday meal, One such ,,57.13,1.32,1.70,9.17,0.00,0.84,0.02,,,,,,,,,,,,,,,,42.54,,,,,,,,,,,,,
Lay's  American Style Cream and Onion Flavour, American Style Cream and Onion Flavour,Lay's,Branded,100 g ,100.00,544.00,7.80,34.00,51.60,2.00,,,,,,,,,,,,,,,,,,770.00,,,,,,,,,,,,,Potato chips
Costa  Americano Full Fat Coffee, Americano Full Fat Coffee,Costa,Beverages,Small,,19.00,1.10,0.90,1.70,1.30,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa  Americano Full Fat Coffee, Americano Full Fat Coffee,Costa,Beverages,Medium,,27.00,1.50,1.30,2.50,1.90,,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa  Americano Full Fat Coffee, Americano Full Fat Coffee,Costa,Beverages,Large,,38.00,2.10,1.80,3.50,2.70,,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa  Americano None , Americano None ,Costa,Beverages,Small,,6.00,0.40,0.20,0.80,0.40,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa  Americano None , Americano None ,Costa,Beverages,Large,,12.00,0.80,0.40,1.60,0.80,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa  Americano Skimmed , Americano Skimmed ,Costa,Beverages,Small,,13.00,1.10,0.20,1.80,1.40,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa  Americano Skimmed , Americano Skimmed ,Costa,Beverages,Medium,,18.00,1.60,0.30,2.60,2.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa  Americano Skimmed , Americano Skimmed ,Costa,Beverages,Large,,26.00,2.20,0.40,3.60,2.80,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa  Americano Soya , Americano Soya ,Costa,Beverages,Small,,15.00,1.10,0.60,1.40,1.00,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa  Americano Soya , Americano Soya ,Costa,Beverages,Medium,,21.00,1.50,0.80,2.00,1.40,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa  Americano Soya , Americano Soya ,Costa,Beverages,Large,,30.00,2.10,1.20,2.80,2.00,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropicana  Apple , Apple ,Tropicana,Beverages,100 ml,100.00,48.00,,0.00,12.00,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minute maid  Apple Drink, Apple Drink,Minute maid,Beverages,100 ml,100.00,64.00,0.00,0.00,16.00,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pizza hut  Arrabbiata Penne, Arrabbiata Penne,Pizza hut,Branded,Personal,,708.25,16.99,26.58,100.33,8.66,,,,,,,,,,,,,,,,,,1.77,,,,,,,,,,,,,
Pizza hut  Arrabbiata Penne, Arrabbiata Penne,Pizza hut,Branded,Regular,,480.87,11.53,18.04,68.12,5.88,,,,,,,,,,,,,,,,,,1.20,,,,,,,,,,,,,
Pizza hut  Arrabbiata Penne non-veg, Arrabbiata Penne non-veg,Pizza hut,Branded,Personal,,923.72,42.32,35.25,115.92,12.69,,,,,,,,,,,,,,,,,,1.49,,,,,,,,,,,,,
Pizza hut  Arrabbiata Penne non-veg, Arrabbiata Penne non-veg,Pizza hut,Branded,Regular,,599.92,27.48,22.89,75.29,8.24,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,
Starbucks  Asiago & Cheddar Pretzel, Asiago & Cheddar Pretzel,Starbucks,Branded,1 serving,,360.00,16.00,12.00,46.00,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa  Babyccino Full Fat , Babyccino Full Fat ,Costa,Beverages,Solo,,57.00,2.00,1.80,8.20,7.40,,1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa  Babyccino Skimmed , Babyccino Skimmed ,Costa,Beverages,Solo,,42.00,2.10,0.10,8.30,7.50,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa  Babyccino Soya , Babyccino Soya ,Costa,Beverages,Solo,,47.00,2.00,1.00,7.30,6.50,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Bacardi cocktail , Bacardi cocktail ,Cocktails,Alcoholic,1,63.00,117.00,0.00,0.00,6.00,,,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.02,1.20,,,,1.00,0.05,11.00,12.00,2.00,,,0.00,,,,,,2.00,,
Starbucks  Bacon Egg & Gouda Artisan Breakfast Sandwich, Bacon Egg & Gouda Artisan Breakfast Sandwich,Starbucks,Branded,1 serving,,350.00,17.00,18.00,30.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
